Id,NoF,Area,Street,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Foundation,GarageType,PoolQC,SalePrice
58,60,11645,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2004,PConc,Attchd,NA,196500
59,60,13682,Pave,AllPub,StoneBr,1Fam,2Story,10,5,2006,PConc,BuiltIn,NA,438780
60,20,7200,Pave,AllPub,CollgCr,1Fam,1Story,5,7,1972,CBlock,Detchd,NA,124900
61,20,13072,Pave,AllPub,SawyerW,1Fam,1Story,6,5,2004,PConc,Detchd,NA,158000
62,75,7200,Pave,AllPub,IDOTRR,1Fam,2.5Unf,5,7,1920,BrkTil,Detchd,NA,101000
63,120,6442,Pave,AllPub,NridgHt,TwnhsE,1Story,8,5,2006,PConc,Attchd,NA,202500
64,70,10300,Pave,AllPub,OldTown,1Fam,2Story,7,6,1921,BrkTil,Detchd,NA,140000
65,60,9375,Pave,AllPub,CollgCr,1Fam,2Story,7,5,1997,PConc,Attchd,NA,219500
66,60,9591,Pave,AllPub,NridgHt,1Fam,2Story,8,5,2004,PConc,BuiltIn,NA,317000
67,20,19900,Pave,AllPub,NAmes,1Fam,1Story,7,5,1970,CBlock,Attchd,NA,180000
68,20,10665,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2003,PConc,Attchd,NA,226000
69,30,4608,Pave,AllPub,OldTown,1Fam,1Story,4,6,1945,CBlock,Attchd,NA,80000
70,50,15593,Pave,AllPub,ClearCr,1Fam,1.5Fin,7,4,1953,CBlock,Attchd,NA,225000
71,20,13651,Pave,AllPub,NAmes,1Fam,1Story,7,6,1973,CBlock,Attchd,NA,244000
72,20,7599,Pave,AllPub,Mitchel,1Fam,1Story,4,6,1982,CBlock,Detchd,NA,129500
73,60,10141,Pave,AllPub,Gilbert,1Fam,2Story,7,5,1998,PConc,Attchd,NA,185000
74,20,10200,Pave,AllPub,NAmes,1Fam,1Story,5,7,1954,CBlock,Attchd,NA,144900
75,50,5790,Pave,AllPub,OldTown,1Fam,2Story,3,6,1915,CBlock,Detchd,NA,107400
76,180,1596,Pave,AllPub,MeadowV,Twnhs,SLvl,4,5,1973,CBlock,BuiltIn,NA,91000
77,20,8475,Pave,AllPub,NAmes,1Fam,1Story,4,7,1956,CBlock,Detchd,NA,135750
78,50,8635,Pave,AllPub,BrkSide,1Fam,1.5Fin,5,5,1948,CBlock,Detchd,NA,127000
79,90,10778,Pave,AllPub,Sawyer,Duplex,1Story,4,5,1968,CBlock,NA,NA,136500
80,50,10440,Pave,AllPub,OldTown,1Fam,2Story,5,6,1910,PConc,Detchd,NA,110000
81,60,13000,Pave,AllPub,NAmes,1Fam,2Story,6,6,1968,CBlock,Attchd,NA,193500
82,120,4500,Pave,AllPub,Mitchel,TwnhsE,1Story,6,5,1998,PConc,Attchd,NA,153500
83,20,10206,Pave,AllPub,Somerst,1Fam,1Story,8,5,2007,PConc,Attchd,NA,245000
84,20,8892,Pave,AllPub,NAmes,1Fam,1Story,5,5,1960,CBlock,Detchd,NA,126500
85,80,8530,Pave,AllPub,Gilbert,1Fam,SLvl,7,5,1995,PConc,BuiltIn,NA,168500
86,60,16059,Pave,AllPub,NoRidge,1Fam,2Story,8,5,1991,CBlock,Attchd,NA,260000
87,60,11911,Pave,AllPub,Gilbert,1Fam,2Story,6,5,2005,PConc,BuiltIn,NA,174000
88,160,3951,Pave,AllPub,Somerst,TwnhsE,2Story,6,5,2009,PConc,Detchd,NA,164500
89,50,8470,Pave,AllPub,IDOTRR,1Fam,1.5Fin,3,2,1915,CBlock,NA,NA,85000
90,20,8070,Pave,AllPub,CollgCr,1Fam,1Story,4,5,1994,PConc,NA,NA,123600
91,20,7200,Pave,AllPub,NAmes,1Fam,1Story,4,5,1950,Slab,Detchd,NA,109900
92,20,8500,Pave,AllPub,NAmes,1Fam,1Story,5,3,1961,CBlock,Attchd,NA,98600
93,30,13360,Pave,AllPub,Crawfor,1Fam,1Story,5,7,1921,BrkTil,Detchd,NA,163500
94,190,7200,Pave,AllPub,OldTown,2fmCon,2.5Unf,6,6,1910,BrkTil,Detchd,NA,133900
95,60,9337,Pave,AllPub,CollgCr,1Fam,2Story,6,5,1997,PConc,Attchd,NA,204750
96,60,9765,Pave,AllPub,Gilbert,1Fam,2Story,6,8,1993,PConc,BuiltIn,NA,185000
97,20,10264,Pave,AllPub,CollgCr,1Fam,1Story,7,5,1999,PConc,Attchd,NA,214000
98,20,10921,Pave,AllPub,Edwards,1Fam,1Story,4,5,1965,CBlock,Attchd,NA,94750
99,30,10625,Pave,AllPub,Edwards,1Fam,1Story,5,5,1920,BrkTil,Basment,NA,83000
100,20,9320,Pave,AllPub,NAmes,1Fam,1Story,4,5,1959,CBlock,NA,NA,128950
101,20,10603,Pave,AllPub,NWAmes,1Fam,1Story,6,7,1977,PConc,Attchd,NA,205000
102,60,9206,Pave,AllPub,SawyerW,1Fam,2Story,6,5,1985,CBlock,Attchd,NA,178000
103,90,7018,Pave,AllPub,SawyerW,Duplex,1Story,5,5,1979,Slab,Attchd,NA,118964
104,20,10402,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2009,PConc,Attchd,NA,198900
105,50,7758,Pave,AllPub,IDOTRR,1Fam,1.5Fin,7,4,1931,PConc,Detchd,NA,169500
106,60,9375,Pave,AllPub,Somerst,1Fam,2Story,8,5,2003,PConc,Attchd,NA,250000
107,30,10800,Pave,AllPub,OldTown,1Fam,1Story,4,7,1885,BrkTil,Detchd,NA,100000
108,20,6000,Pave,AllPub,OldTown,1Fam,1Story,5,5,1948,CBlock,Detchd,NA,115000
109,50,8500,Pave,AllPub,IDOTRR,1Fam,1.5Fin,5,7,1919,CBlock,NA,NA,115000
110,20,11751,Pave,AllPub,NWAmes,1Fam,1Story,6,6,1977,CBlock,Attchd,NA,190000
111,50,9525,Pave,AllPub,Edwards,1Fam,1.5Fin,6,4,1954,CBlock,Attchd,NA,136900
112,80,7750,Pave,AllPub,Gilbert,1Fam,SLvl,7,5,2000,PConc,BuiltIn,NA,180000
113,60,9965,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2007,PConc,BuiltIn,NA,383970
114,20,21000,Pave,AllPub,Crawfor,1Fam,1Story,6,5,1953,CBlock,Basment,NA,217000
115,70,7259,Pave,AllPub,Crawfor,1Fam,2Story,6,8,1945,CBlock,Detchd,NA,259500
116,160,3230,Pave,AllPub,Somerst,TwnhsE,2Story,6,5,1999,PConc,Detchd,NA,176000
117,20,11616,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1962,CBlock,Attchd,NA,139000
118,20,8536,Pave,AllPub,Edwards,1Fam,1Story,5,5,2006,PConc,Attchd,NA,155000
119,60,12376,Pave,AllPub,SawyerW,1Fam,2Story,7,5,1990,PConc,Attchd,NA,320000
120,60,8461,Pave,AllPub,CollgCr,1Fam,2Story,6,5,2005,PConc,Attchd,NA,163990
121,80,21453,Pave,AllPub,ClearCr,1Fam,SLvl,6,5,1969,CBlock,Attchd,NA,180000
122,50,6060,Pave,AllPub,IDOTRR,1Fam,1.5Fin,4,5,1939,PConc,Detchd,NA,100000
123,20,9464,Pave,AllPub,NAmes,1Fam,1Story,6,7,1958,CBlock,Attchd,NA,136000
124,120,7892,Pave,AllPub,SawyerW,TwnhsE,1Story,6,5,1993,PConc,Attchd,NA,153900
125,20,17043,Pave,AllPub,NWAmes,1Fam,1Story,6,5,1979,CBlock,Attchd,NA,181000
126,190,6780,Pave,AllPub,IDOTRR,2fmCon,1.5Fin,6,8,1935,CBlock,NA,NA,84500
127,120,4928,Pave,AllPub,NPkVill,TwnhsE,1Story,6,5,1976,CBlock,Attchd,NA,128000
128,45,4388,Pave,AllPub,OldTown,1Fam,1.5Unf,5,7,1930,BrkTil,NA,NA,87000
129,60,7590,Pave,AllPub,NAmes,1Fam,2Story,6,5,1966,CBlock,Attchd,NA,155000
130,20,8973,Pave,AllPub,NAmes,1Fam,1Story,5,7,1958,CBlock,2Types,NA,150000
131,60,14200,Pave,AllPub,NAmes,1Fam,2Story,7,6,1966,CBlock,Attchd,NA,226000
132,60,12224,Pave,AllPub,Gilbert,1Fam,2Story,6,5,2000,PConc,BuiltIn,NA,244000
133,20,7388,Pave,AllPub,NAmes,1Fam,1Story,5,6,1959,CBlock,Detchd,NA,150750
134,20,6853,Pave,AllPub,Timber,1Fam,1Story,8,5,2001,PConc,Attchd,NA,220000
135,20,10335,Pave,AllPub,Sawyer,1Fam,1Story,5,6,1968,CBlock,Attchd,NA,180000
136,20,10400,Pave,AllPub,NWAmes,1Fam,1Story,7,6,1970,PConc,Attchd,NA,174000
137,20,10355,Pave,AllPub,NAmes,1Fam,1Story,5,5,1967,CBlock,Attchd,NA,143000
138,90,11070,Pave,AllPub,Mitchel,Duplex,1Story,7,5,1988,CBlock,2Types,NA,171000
139,60,9066,Pave,AllPub,CollgCr,1Fam,2Story,8,5,1999,PConc,Attchd,NA,230000
140,60,15426,Pave,AllPub,CollgCr,1Fam,2Story,6,5,1997,PConc,Attchd,NA,231500
141,20,10500,Pave,AllPub,NAmes,1Fam,1Story,4,5,1971,CBlock,NA,NA,115000
142,20,11645,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2005,PConc,Attchd,NA,260000
143,50,8520,Pave,AllPub,NAmes,1Fam,1.5Fin,5,4,1952,CBlock,Detchd,NA,166000
144,20,10335,Pave,AllPub,CollgCr,1Fam,1Story,7,5,1999,PConc,Attchd,NA,204000
145,90,9100,Pave,AllPub,Sawyer,Duplex,1Story,5,5,1963,CBlock,Detchd,NA,125000
146,160,2522,Pave,AllPub,Edwards,Twnhs,2Story,6,5,2004,PConc,Detchd,NA,130000
147,30,6120,Pave,AllPub,BrkSide,1Fam,1Story,5,7,1931,BrkTil,Detchd,NA,105000
148,60,9505,Pave,AllPub,Gilbert,1Fam,2Story,7,5,2001,PConc,BuiltIn,NA,222500
149,20,7500,Pave,AllPub,SawyerW,1Fam,1Story,7,5,2004,PConc,NA,NA,141000
150,50,6240,Pave,AllPub,BrkSide,1Fam,1.5Fin,5,4,1936,BrkTil,Detchd,NA,115000
151,20,10356,Pave,AllPub,CollgCr,1Fam,1Story,5,6,1975,CBlock,Attchd,NA,122000
152,20,13891,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2007,PConc,Attchd,NA,372402
153,60,14803,Pave,AllPub,NWAmes,1Fam,2Story,6,5,1971,CBlock,Attchd,NA,190000
154,20,13500,Pave,AllPub,ClearCr,1Fam,1Story,6,7,1960,CBlock,Attchd,NA,235000
155,30,11340,Pave,AllPub,OldTown,1Fam,1Story,6,5,1923,BrkTil,Detchd,NA,125000
156,50,9600,Pave,AllPub,Edwards,1Fam,1.5Fin,6,5,1924,BrkTil,NA,NA,79000
157,20,7200,Pave,AllPub,NAmes,1Fam,1Story,5,7,1950,CBlock,Detchd,NA,109500
158,60,12003,Pave,AllPub,Timber,1Fam,2Story,8,5,2009,PConc,BuiltIn,NA,269500
159,60,12552,Pave,AllPub,Somerst,1Fam,2Story,7,5,2004,PConc,Attchd,NA,254900
160,60,19378,Pave,AllPub,Gilbert,1Fam,2Story,7,5,2005,PConc,Attchd,NA,320000
161,20,11120,Pave,AllPub,Veenker,1Fam,1Story,6,6,1984,PConc,Attchd,NA,162500
162,60,13688,Pave,AllPub,NridgHt,1Fam,2Story,9,5,2003,PConc,BuiltIn,NA,412500
163,20,12182,Pave,AllPub,NridgHt,1Fam,1Story,7,5,2005,PConc,Attchd,NA,220000
164,45,5500,Pave,AllPub,OldTown,1Fam,1.5Unf,4,6,1956,CBlock,NA,NA,103200
165,40,5400,Pave,AllPub,OldTown,1Fam,1Story,6,7,1926,BrkTil,Detchd,NA,152000
166,190,10106,Pave,AllPub,Edwards,2fmCon,1.5Fin,5,7,1940,BrkTil,NA,NA,127500
167,20,10708,Pave,AllPub,ClearCr,1Fam,1Story,5,5,1955,CBlock,Attchd,NA,190000
168,60,10562,Pave,AllPub,NridgHt,1Fam,2Story,8,5,2007,PConc,Attchd,NA,325624
169,60,8244,Pave,AllPub,Gilbert,1Fam,2Story,7,5,2004,PConc,Attchd,NA,183500
170,20,16669,Pave,AllPub,Timber,1Fam,1Story,8,6,1981,CBlock,Attchd,NA,228000
171,50,12358,Pave,AllPub,OldTown,1Fam,1.5Fin,5,6,1941,CBlock,Detchd,NA,128500
172,20,31770,Pave,AllPub,NAmes,1Fam,1Story,6,5,1960,CBlock,Attchd,NA,215000
173,160,5306,Pave,AllPub,StoneBr,TwnhsE,2Story,7,7,1987,PConc,Attchd,NA,239000
174,20,10197,Pave,AllPub,NAmes,1Fam,1Story,6,5,1961,CBlock,Attchd,NA,163000
175,20,12416,Pave,AllPub,Timber,1Fam,1Story,6,5,1986,CBlock,Attchd,NA,184000
176,20,12615,Pave,AllPub,Edwards,1Fam,1Story,6,7,1950,CBlock,Attchd,NA,243000
177,60,10029,Pave,AllPub,ClearCr,1Fam,2Story,6,5,1988,PConc,Attchd,NA,211000
178,50,13650,Pave,AllPub,Sawyer,1Fam,1.5Fin,5,5,1958,CBlock,Attchd,NA,172500
179,20,17423,Pave,AllPub,StoneBr,1Fam,1Story,9,5,2008,PConc,Attchd,NA,501837
180,30,8520,Pave,AllPub,OldTown,1Fam,1Story,5,6,1923,CBlock,Detchd,NA,100000
181,160,2117,Pave,AllPub,Somerst,Twnhs,2Story,6,5,2000,PConc,Detchd,NA,177000
182,70,7588,Pave,AllPub,Crawfor,1Fam,2Story,7,6,1920,BrkTil,Detchd,NA,200100
183,20,9060,Pave,AllPub,Edwards,1Fam,1Story,5,6,1957,PConc,Attchd,NA,120000
184,50,11426,Pave,AllPub,OldTown,1Fam,1.5Fin,7,5,2003,PConc,Detchd,NA,200000
185,50,7438,Pave,AllPub,BrkSide,1Fam,1.5Fin,5,8,1908,PConc,Attchd,NA,127000
186,75,22950,Pave,AllPub,OldTown,1Fam,2.5Fin,10,9,1892,BrkTil,Detchd,NA,475000
187,80,9947,Pave,AllPub,Mitchel,1Fam,SLvl,7,5,1990,PConc,Attchd,NA,173000
188,50,10410,Pave,AllPub,OldTown,1Fam,1.5Fin,5,7,1916,CBlock,Detchd,NA,135000
189,90,7018,Pave,AllPub,SawyerW,Duplex,SFoyer,5,5,1979,CBlock,Detchd,NA,153337
190,120,4923,Pave,AllPub,StoneBr,TwnhsE,1Story,8,5,2001,PConc,Attchd,NA,286000
191,70,10570,Pave,AllPub,Crawfor,1Fam,2Story,8,8,1932,CBlock,Detchd,NA,315000
192,60,7472,Pave,AllPub,NAmes,1Fam,2Story,7,9,1972,CBlock,Attchd,NA,184000
193,20,9017,Pave,AllPub,CollgCr,1Fam,1Story,7,5,1999,PConc,Attchd,NA,192000
194,160,2522,Pave,AllPub,Edwards,Twnhs,2Story,7,5,2004,PConc,Detchd,NA,130000
195,20,7180,Pave,AllPub,CollgCr,1Fam,1Story,5,7,1972,CBlock,Detchd,NA,127000
196,160,2280,Pave,AllPub,NPkVill,Twnhs,2Story,6,6,1976,CBlock,Attchd,NA,148500
197,20,9416,Pave,AllPub,Somerst,1Fam,1Story,7,5,2007,PConc,Attchd,NA,311872
198,75,25419,Pave,AllPub,NAmes,1Fam,2Story,8,4,1918,PConc,Detchd,Ex,235000
199,75,5520,Pave,AllPub,OldTown,1Fam,2.5Fin,6,6,1912,CBlock,NA,NA,104000
200,20,9591,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2004,PConc,Attchd,NA,274900
201,20,8546,Pave,AllPub,Edwards,1Fam,1Story,4,5,2003,PConc,Attchd,NA,140000
202,20,10125,Pave,AllPub,Mitchel,1Fam,1Story,6,6,1977,CBlock,Detchd,NA,171500
203,50,7000,Pave,AllPub,OldTown,1Fam,1.5Fin,6,6,1924,BrkTil,Attchd,NA,112000
204,120,4438,Pave,AllPub,CollgCr,TwnhsE,1Story,6,5,2004,PConc,Attchd,NA,149000
205,50,3500,Pave,AllPub,OldTown,1Fam,1.5Fin,5,7,1947,CBlock,Detchd,NA,110000
206,20,11851,Pave,AllPub,Gilbert,1Fam,1Story,7,5,1990,PConc,Attchd,NA,180500
207,20,13673,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1962,CBlock,Attchd,NA,143900
208,20,12493,Pave,AllPub,NAmes,1Fam,1Story,4,5,1960,PConc,Attchd,NA,141000
209,60,14364,Pave,AllPub,SawyerW,1Fam,2Story,7,5,1988,CBlock,Attchd,NA,277000
210,20,8250,Pave,AllPub,NAmes,1Fam,1Story,6,7,1964,CBlock,Attchd,NA,145000
211,30,5604,Pave,AllPub,Edwards,1Fam,1Story,5,6,1925,CBlock,NA,NA,98000
212,20,10420,Pave,AllPub,Edwards,1Fam,1Story,6,5,2009,PConc,Attchd,NA,186000
213,60,8640,Pave,AllPub,Somerst,1Fam,2Story,7,5,2009,PConc,Attchd,NA,252678
214,20,13568,Pave,AllPub,CollgCr,1Fam,1Story,5,5,1995,PConc,Attchd,NA,156000
215,60,10900,Pave,AllPub,CollgCr,1Fam,2Story,6,7,1977,CBlock,Attchd,NA,161750
216,20,10011,Pave,AllPub,NAmes,1Fam,1Story,5,6,1957,CBlock,Attchd,NA,134450
217,20,8450,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2004,PConc,Attchd,NA,210000
218,70,9906,Pave,AllPub,OldTown,1Fam,2Story,4,4,1925,CBlock,Detchd,NA,107000
219,50,15660,Pave,AllPub,Crawfor,1Fam,1.5Fin,7,9,1939,CBlock,Attchd,NA,311500
220,120,3010,Pave,AllPub,Blmngtn,TwnhsE,1Story,7,5,2005,PConc,Attchd,NA,167240
221,20,8990,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2006,PConc,Attchd,NA,204900
222,60,8068,Pave,AllPub,Gilbert,1Fam,2Story,6,5,2002,PConc,BuiltIn,NA,200000
223,60,11475,Pave,AllPub,NWAmes,1Fam,2Story,6,6,1975,CBlock,Attchd,NA,179900
224,20,10500,Pave,AllPub,NAmes,1Fam,1Story,4,6,1971,CBlock,Detchd,NA,97000
225,20,13472,Pave,AllPub,NridgHt,1Fam,1Story,10,5,2003,PConc,Attchd,NA,386250
226,160,1680,Pave,AllPub,BrDale,Twnhs,2Story,5,5,1971,CBlock,Detchd,NA,112000
227,60,9950,Pave,AllPub,NoRidge,1Fam,2Story,7,5,1995,PConc,Attchd,NA,290000
228,160,1869,Pave,AllPub,BrDale,Twnhs,2Story,6,6,1970,CBlock,Detchd,NA,106000
229,20,8521,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1967,CBlock,Detchd,NA,125000
230,120,3182,Pave,AllPub,Blmngtn,TwnhsE,1Story,7,5,2005,PConc,Attchd,NA,192500
231,20,8760,Pave,AllPub,NAmes,1Fam,1Story,6,6,1959,CBlock,Attchd,NA,148000
232,60,15138,Pave,AllPub,NoRidge,1Fam,2Story,8,5,1995,PConc,Attchd,NA,403000
233,160,1680,Pave,AllPub,BrDale,Twnhs,2Story,6,5,1972,CBlock,Attchd,NA,94500
234,20,10650,Pave,AllPub,CollgCr,1Fam,1Story,5,6,1976,CBlock,Attchd,NA,128200
235,60,7851,Pave,AllPub,Gilbert,1Fam,2Story,6,5,2002,PConc,BuiltIn,NA,216500
236,160,1680,Pave,AllPub,BrDale,TwnhsE,2Story,6,3,1971,CBlock,Detchd,NA,89500
237,20,8773,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2004,PConc,Attchd,NA,185500
238,60,9453,Pave,AllPub,SawyerW,1Fam,2Story,7,7,1993,PConc,Attchd,NA,194500
239,20,12030,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2007,PConc,Attchd,NA,318000
240,50,8741,Pave,AllPub,Edwards,1Fam,1.5Fin,6,4,1945,CBlock,Detchd,NA,113000
241,20,9000,Pave,AllPub,Somerst,1Fam,1Story,8,5,2008,PConc,Attchd,NA,262500
242,30,3880,Pave,AllPub,OldTown,1Fam,1Story,5,9,1945,CBlock,NA,NA,110500
243,50,5000,Pave,AllPub,OldTown,1Fam,1.5Fin,5,4,1900,BrkTil,Attchd,NA,79000
244,160,10762,Pave,AllPub,SawyerW,TwnhsE,2Story,6,6,1980,CBlock,Attchd,NA,120000
245,60,8880,Pave,AllPub,SawyerW,1Fam,2Story,7,5,1994,PConc,Attchd,NA,205000
246,20,10400,Pave,AllPub,NWAmes,1Fam,1Story,7,5,1988,CBlock,Attchd,NA,241500
247,190,9142,Pave,AllPub,OldTown,2fmCon,2Story,6,8,1910,Stone,Detchd,NA,137000
248,20,11310,Pave,AllPub,NAmes,1Fam,1Story,6,5,1954,CBlock,Attchd,NA,140000
249,60,11317,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2003,PConc,Attchd,NA,180000
250,50,159000,Pave,AllPub,ClearCr,1Fam,1.5Fin,6,7,1958,CBlock,Attchd,NA,277000
251,30,5350,Pave,AllPub,BrkSide,1Fam,1Story,3,2,1940,CBlock,NA,NA,76500
252,120,4750,Pave,AllPub,Crawfor,TwnhsE,1Story,8,5,2006,PConc,Attchd,NA,235000
253,60,8366,Pave,AllPub,SawyerW,1Fam,2Story,6,5,2004,PConc,Attchd,NA,173000
254,80,9350,Pave,AllPub,NAmes,1Fam,SLvl,6,7,1964,CBlock,Attchd,NA,158000
255,20,8400,Pave,AllPub,NAmes,1Fam,1Story,5,6,1957,CBlock,Attchd,NA,145000
256,60,8738,Pave,AllPub,Gilbert,1Fam,2Story,7,5,1999,PConc,BuiltIn,NA,230000
